wv	R0
481.1	24.86943065
481.52	22.88893176
481.94	20.99879281
482.36	19.90114303
482.78	18.94948021
483.19	17.75387103
483.61	17.67180058
484.03	15.40216438
484.45	15.55270672
484.86	14.8133551
485.28	13.08685771
485.7	13.14926949
486.12	12.65334332
486.53	12.68930075
486.95	11.23993921
487.37	11.23713043
487.78	10.75181011
488.2	10.7630391
488.62	10.72879835
489.03	10.0710839
489.45	9.820915783
489.87	9.789025204
490.28	10.37750267
490.7	10.50062893
491.12	10.81511957
491.53	11.54892001
491.95	10.93067475
492.37	11.28062642
492.78	11.86389792
493.2	13.37300982
493.61	12.12523999
494.03	13.32252199
494.45	13.32126608
494.86	13.8553333
495.28	15.18502352
495.69	15.03130526
496.11	15.95984823
496.52	16.43594501
496.94	17.09972076
497.36	17.04445372
497.77	18.47881336
498.19	18.87160415
498.6	20.06538619
499.02	20.15141394
499.43	21.14630739
499.85	22.2565757
500.26	22.9433796
500.68	23.71959445
501.09	24.31151144
501.51	25.76396436
501.92	25.35614973
502.33	25.88390839
502.75	26.89248895
503.16	28.60799866
503.58	28.80272509
503.99	30.71485339
504.41	30.45419491
504.82	31.63384479
505.23	33.01347407
505.65	33.86894909
506.06	34.86380397
506.48	34.26677648
506.89	35.47641963
507.3	37.42516127
507.72	38.72385977
508.13	38.53214489
508.54	38.41456686
508.96	40.01832509
509.37	41.07214833
509.78	42.49718622
510.2	43.27432013
510.61	44.18520789
511.02	44.74587176
511.44	44.57309777
511.85	45.70065383
512.26	47.02009823
512.68	47.07666562
513.09	48.37516693
513.5	49.93933091
513.91	49.1048852
514.33	51.34711673
514.74	51.12060489
515.15	52.54773852
515.56	52.17376908
515.98	53.78717472
516.39	53.91792884
516.8	55.04529732
517.21	54.87156348
517.62	56.51365371
518.04	57.92351505
518.45	58.43251089
518.86	59.01697887
519.27	59.43846879
519.68	59.98507269
520.1	60.48484061
520.51	61.31270358
520.92	61.61863887
521.33	60.49038462
521.74	61.49747974
522.15	60.99221174
522.56	63.808699
522.97	64.54099736
523.39	64.93359979
523.8	64.44929817
524.21	64.55823293
524.62	66.11524765
525.03	64.8586953
525.44	65.89611963
525.85	67.14500304
526.26	69.21380633
526.67	69.47163675
527.08	69.36270603
527.49	68.01356227
527.9	70.04388596
528.31	70.36305493
528.72	70.10190766
529.13	72.18400279
529.54	71.97138315
