wv	10L	12L
653.25	84.01439634	78.51527556
653.64	83.35804517	79.31282947
654.03	82.68727768	80.06261563
654.42	81.8709738	80.71220633
654.8	80.97312791	81.2773974
655.19	80.13336186	81.8635764
655.58	79.25410856	82.41944333
655.97	78.29495302	82.89706865
656.36	77.34728494	83.32812351
656.74	76.30666546	83.76196705
657.13	75.2514597	84.10721907
657.52	74.14308397	84.46928952
657.9	73.00127588	84.85337877
658.29	71.80668561	85.27617282
658.68	70.52832128	85.71734866
659.07	69.21652778	86.13857176
659.45	67.75099433	86.56313763
659.84	66.17949848	86.78060847
660.23	64.5047477	87.01506885
660.61	62.74630643	87.17146564
661	61.03826931	87.29678401
661.39	59.21480032	87.38178465
661.77	57.29255457	87.51976572
662.16	55.27209821	87.69439192
662.55	53.15810883	87.8392496
662.93	50.90782161	88.01655334
663.32	48.63741172	88.14539564
663.7	46.28787239	88.30468831
664.09	43.94888246	88.52554015
664.48	41.4937518	88.71131211
664.86	38.96676846	88.86168162
665.25	36.43655082	88.91723827
665.63	33.94587715	88.95335928
666.02	31.51614677	88.95462602
666.41	29.14267192	89.08796005
666.79	26.86195292	89.15899167
667.18	24.68036816	89.27939219
667.56	22.57030186	89.3747466
667.95	20.6413941	89.40215796
668.33	18.84812908	89.31961174
668.72	17.24250019	89.18560769
669.1	15.86034918	89.1201338
669.49	14.68346478	89.07706262
669.87	13.74945099	89.12017392
670.26	13.08507337	89.18663075
670.64	12.61808441	89.19305918
671.03	12.41624212	89.18288595
671.41	12.47637113	89.13192098
671.8	12.76599251	89.20781663
672.18	13.31311344	89.3076556
672.57	14.06153704	89.35856635
672.95	15.01967966	89.3875217
673.34	16.18191701	89.46549633
673.72	17.54051077	89.5693222
674.1	18.98548177	89.61158295
674.49	20.61607834	89.64304567
674.87	22.33420887	89.72932569
675.26	24.11988028	89.82219836
675.64	25.96741876	89.94491795
676.02	27.84059479	89.96889873
676.41	29.70067097	89.89404506
676.79	31.53382405	89.83505054
677.17	33.42205757	89.8335656
677.56	35.24903571	89.68936313
677.94	37.04387996	89.54154061
678.33	38.8422832	89.4328038
678.71	40.55785831	89.35161835
679.09	42.3190435	89.28779982
679.48	43.93041714	89.20929817
679.86	45.53885535	89.18301686
680.24	47.0191221	89.06049908
680.62	48.51441201	89.05789314
681.01	49.87731364	89.04130351
681.39	51.29075232	88.96669569
681.77	52.67005153	88.90264646
682.16	53.91609564	88.80731712
682.54	55.11811658	88.81027693
682.92	56.28310523	88.79684645
683.3	57.35382733	88.65826847
683.69	58.29370135	88.50692257
684.07	59.31642485	88.49977493
684.45	60.3502138	88.46893839
684.83	61.35150493	88.41152166
685.21	62.33950531	88.42393092
685.6	63.18849586	88.39091428
685.98	64.10114247	88.28740768
686.36	64.91191107	88.17919687
686.74	65.68312802	88.06536693
687.12	66.39280402	87.93600472
687.51	67.07986441	87.85687427
687.89	67.68394411	87.8280909
688.27	68.28923596	87.78931041
688.65	68.90040593	87.66451474
689.03	69.39925968	87.44955113
689.41	69.88498398	87.24849243
689.79	70.35894284	87.062673
690.18	70.92973147	86.9457458
690.56	71.44399232	86.85059982
690.94	71.98924158	86.83002719
691.32	72.38307458	86.67968462
691.7	72.77128154	86.53527604
692.08	73.19338091	86.39708776
692.46	73.52082213	86.35197857
692.84	73.91334206	86.27851257
693.22	74.27137138	86.22683238
693.6	74.63378997	86.1508946
693.98	75.0471308	86.07151248
694.36	75.42471086	85.96603487
694.74	75.81872734	85.81510403
695.12	76.24927856	85.75029377
695.5	76.68322303	85.65349602
695.88	77.02719758	85.56004939
696.26	77.38360015	85.52406508
696.64	77.58834384	85.38276816
697.02	77.78316323	85.19980668
697.4	77.91202392	85.05197176
697.78	78.06548673	84.89518141
698.16	78.24908274	84.74036131
698.54	78.38462384	84.52951969
698.92	78.54656045	84.34228903
699.3	78.66415636	84.03646773
699.68	78.79992919	83.7527569
700.06	79.01078656	83.50309492
700.44	79.15935804	83.2428489
700.82	79.3962619	82.98236682
701.2	79.53450381	82.79778598
701.58	79.61473881	82.64733184
701.96	79.73869602	82.4397883
702.33	79.94337203	82.24958538
702.71	80.10952854	81.99310562
703.09	80.45747974	81.79776385
703.47	80.66842808	81.53085027
703.85	80.89948837	81.28587159
704.23	81.10933632	81.02821912
704.61	81.16189617	80.67833884
704.98	81.26798441	80.25894157
705.36	81.38090792	79.76256574
705.74	81.39915679	79.33267059
706.12	81.48323527	78.89979789
706.5	81.47231281	78.4200409
706.88	81.56240157	78.0210289
707.25	81.5090298	77.58937667
707.63	81.50698118	77.10124615
708.01	81.62380667	76.57856039
708.39	81.67540892	76.1082109
708.76	81.76377446	75.59358369
709.14	81.81622348	75.17514833
709.52	81.76921689	74.66300613
709.9	81.8283744	74.14036275
710.27	81.81653328	73.52862778
710.65	81.76522673	72.97654004
