wv	10L	12L
465.59	0.6848677276	1.2213291258
466.01	0.0606968663	1.0405177086
466.43	0.5832470913	1.1195785116
466.85	1.4700116155	1.3174730968
467.27	1.5401957051	1.5494430442
467.69	1.0829825509	1.6592947938
468.11	1.3496724181	1.236204383
468.53	1.3274280145	0.9539050651
468.95	1.6370749323	1.3996218466
469.37	1.5112669227	1.7320350688
469.79	0.2183979051	1.0706144115
470.21	0.9617847021	1.3925840999
470.63	1.4566356915	1.0605877754
471.05	1.4898673554	1.1331755827
471.47	1.8760880645	1.8048876487
471.89	1.6034007785	1.4116989549
472.31	1.8244632722	1.0018919141
472.73	2.4463675851	1.0999796318
473.15	2.2149708526	1.7767145876
473.57	1.3121458173	1.7477193254
473.99	1.1606819493	1.383393024
474.41	1.3201844868	1.8369402871
474.83	1.4331473755	2.0746375538
475.24	1.8640053985	2.0257520444
475.66	1.228570842	1.6383271398
476.08	1.6976421637	1.9033548413
476.5	1.762811035	1.5972542572
476.92	1.1850874299	1.5631804685
477.34	1.5925650558	1.8920217329
477.76	1.5837699762	1.6231893814
478.18	1.8548260174	2.0514462863
478.59	2.3427088246	2.3078252292
479.01	2.0581463208	2.7075176402
479.43	1.835490765	2.4457456605
479.85	1.6191639383	1.8139986794
480.27	1.9355294545	1.7044556071
480.69	2.5248332589	1.6565877232
481.1	2.4730236062	1.8903856752
481.52	2.4640608941	2.4771646968
481.94	2.0949718902	2.0965863047
482.36	1.9521216544	1.8296501438
482.78	2.2428656819	2.1590593977
483.19	2.1185460654	2.2158077651
483.61	2.2649608669	2.1667068031
484.03	2.3282764433	1.9514134957
484.45	2.0460958997	1.9608211254
484.86	2.3326997082	2.4438747631
485.28	2.2228951451	2.5479457586
485.7	2.5382112893	2.4251755037
486.12	2.4031665253	2.6165677128
486.53	1.8708010915	2.3489793746
486.95	2.5161081225	2.5570778785
487.37	2.5197476469	2.4279255443
487.78	1.9168151463	2.2516219414
488.2	2.3533337837	2.7901911775
488.62	2.4252835277	2.0741174511
489.03	2.1961100808	2.2465379291
489.45	2.4134971542	2.7319541061
489.87	2.5161261423	2.6245296542
490.28	2.8064484033	2.7837475519
490.7	2.3478977698	2.7020054922
491.12	2.3979578641	2.568989329
491.53	2.6646206361	2.3591811765
491.95	2.5393088586	2.6916673901
492.37	2.676560485	2.8125031733
492.78	2.1310937437	2.5954198473
493.2	2.0964977964	2.3519390519
493.61	2.4917028338	2.5282954642
494.03	2.5783396923	2.8873843545
494.45	2.9621739724	2.809802242
494.86	2.6837703609	2.6631776976
495.28	2.4024060195	2.6857302987
495.69	2.5741154631	2.8448564345
496.11	2.2724505364	2.790772134
496.52	2.5663951606	2.8197954178
496.94	2.1419777234	2.6095408608
497.36	2.0128742965	2.8060092785
497.77	2.5692766299	3.0058883653
498.19	2.1912984906	2.8335135059
498.6	2.2446878459	2.7490763251
499.02	2.500893765	2.952372772
499.43	2.366330478	3.1269227227
499.85	2.1337725213	2.8215848256
500.26	2.3434202704	2.6743922197
500.68	2.2856358897	3.0323483174
501.09	2.4238671005	3.1894585559
501.51	2.5099129433	3.0401391135
501.92	2.1492957375	3.1532209909
502.33	2.2345343659	2.7114866424
502.75	2.2236345744	2.8161390848
503.16	2.3019809401	3.0002569868
503.58	2.4000339678	2.7504750178
503.99	2.6515151515	2.9867066895
504.41	2.347137944	3.2023488877
504.82	1.9888892331	3.2647274455
505.23	2.2557822851	2.8681157788
505.65	2.5517669796	2.9483020431
506.06	2.7782679462	3.1213992764
506.48	2.7800148755	2.8775652202
506.89	2.68631392	3.1452651943
507.3	2.7160282886	3.1397086694
507.72	2.6417702395	3.3828030091
508.13	2.6043521972	3.5861919914
508.54	2.9629289286	3.3124660188
508.96	2.7592248121	3.0941652114
509.37	2.9267267856	3.1214788799
509.78	2.9194527427	3.2586580875
510.2	3.0302131933	3.3250447472
510.61	3.2000169003	3.2443618208
511.02	2.8851757704	3.1880463761
511.44	2.8611686262	3.1091632399
511.85	2.717270205	3.3432046232
512.26	3.0928291433	3.3107109451
512.68	3.2755879806	3.0801385321
513.09	2.9903710592	3.6442991271
513.5	3.1613314082	3.6051107606
513.91	3.1334134364	3.4784036214
514.33	3.2196868896	3.2755708847
514.74	3.1554531197	3.2019998094
515.15	3.0598426937	3.2062901811
515.56	3.3529707878	3.171594929
515.98	3.1626905547	3.2581240876
516.39	3.1182321082	3.2399135619
516.8	3.1634212992	3.6941753434
517.21	3.228910715	3.5015204377
517.62	2.9750590404	3.3776856172
518.04	3.2802819332	3.3956167035
518.45	3.3933751397	3.2438278171
518.86	3.1078312096	3.4066115535
519.27	3.4323362961	3.1775914698
519.68	3.2211432818	3.3657183211
520.1	3.42045791	3.5199890265
520.51	3.3790738137	3.4985790284
520.92	3.1763201888	3.278041772
521.33	3.1748150833	3.2734539566
521.74	3.2190000332	3.1730022244
522.15	3.2437628869	3.142606626
522.56	3.4779972567	3.5219298536
522.97	3.2904388024	3.5175888549
523.39	3.0628729732	3.5161005253
523.8	3.3741260765	3.4213638416
524.21	3.1005069673	3.1392352404
524.62	3.3009164079	3.2481825292
525.03	3.3630983266	3.0959546294
525.44	3.3045114761	3.4977593967
525.85	3.2689297014	3.4587529519
526.26	3.1330987489	3.1182975871
526.67	3.1566527023	3.5059029483
527.08	3.207036247	3.3206560026
527.49	3.1790531562	3.7859151325
527.9	3.1804427222	3.877113782
528.31	3.3822902735	3.6611989615
528.72	3.4325348726	3.7661259148
529.13	3.3587104019	3.5315156346
529.54	3.2203295635	3.4768110707
529.95	3.2708895868	3.5906840152
530.36	3.1580670807	3.3389157875
530.77	3.1158578492	3.3812899379
531.18	3.4110430244	3.4344743042
531.59	3.5216991904	3.17307599
532	3.3814852164	3.3131862369
532.41	3.2323126646	3.6183952151
532.82	3.2292506786	3.5304511513
533.23	3.4752208302	3.5417855322
533.64	3.6064697148	3.2826179332
534.05	3.3361425476	3.334257417
534.46	3.4478852083	3.6748115259
534.87	3.5675121508	3.8444447589
535.28	3.2978135532	3.4252871404
535.68	3.3283391711	3.5687442278
536.09	3.5249918277	3.6737978933
536.5	3.5896305794	3.4596892009
536.91	3.4216488145	3.3924640862
537.32	3.4405631931	3.3939150027
537.73	3.4822879847	3.6458628964
538.14	3.5628673287	3.6430241362
538.54	3.5379141784	3.677609083
538.95	3.3596022661	3.8319786933
539.36	3.2828624775	3.7610058579
