wv	R0	R1	R2
440.66	67.66255617	73.9808728	88.786268
441.08	68.15544194	73.80078261	88.90851034
441.51	68.8910609	73.78782491	89.10093349
441.93	69.84518247	73.94061058	89.64017602
442.35	70.75334473	74.10776915	89.98123841
442.78	71.69833683	74.27659382	90.60121123
443.2	72.49197965	74.48367649	91.00792257
443.63	73.22431045	74.60310611	91.35562998
444.05	73.83866604	74.83418798	91.79226116
444.47	74.61633634	74.96832999	91.97177603
444.9	75.42398229	75.10912932	92.30737535
445.32	76.25245848	75.44075335	92.47088705
445.75	76.81670816	75.7754127	92.68963127
446.17	77.18271296	75.95751924	93.07470378
446.59	77.63191637	76.14456371	93.29793098
447.02	77.9463515	76.03745158	92.92409068
447.44	78.67740984	76.33471548	93.06094139
447.86	79.00477063	76.39190494	93.0360204
448.29	79.77370883	76.67432764	93.30043877
448.71	80.43007542	77.08802007	93.5062357
449.13	80.66246361	77.21678949	93.63890087
449.56	80.7996266	77.4197231	93.57593144
449.98	80.96990644	77.57618513	93.51393523
450.4	81.34856702	77.72638846	93.51542488
450.83	81.67122892	77.96838387	93.55298146
451.25	81.85194451	77.90203205	93.54595334
451.67	82.13851315	78.24208208	93.54900541
452.1	82.46256404	78.77738984	93.8780737
452.52	82.60800863	78.89013711	94.03382489
452.94	82.99820987	79.21166637	94.29091444
453.36	83.45193471	79.70552064	94.36673234
453.79	83.82248645	79.97993598	94.25215595
454.21	84.35452763	80.52672315	94.72688778
454.63	84.50256578	80.90872827	94.99398701
455.05	84.82749248	81.2586513	95.25818893
455.48	84.93387118	81.8091141	95.33587047
455.9	85.0766434	82.11084592	95.5487121
456.32	85.33953362	82.52531265	95.66789218
456.74	85.84297365	82.96903124	95.99171539
457.16	86.18903051	83.50479164	96.30326788
457.59	86.52699741	84.05974488	96.6902596
458.01	86.98172501	84.56476173	96.9911532
458.43	87.37341265	85.28861749	97.28235044
458.85	87.43611064	85.49963197	97.39753843
459.27	87.62204432	85.79758112	97.4125052
459.69	87.85791153	86.38593766	97.68564503
460.12	88.10421552	86.94910597	97.77209065
460.54	88.11175491	87.29086923	97.80590807
460.96	88.33339933	87.8855265	98.11963112
461.38	88.38836453	88.25236715	97.96836384
461.8	88.7021109	88.74811707	98.05673778
462.22	89.01557161	89.28711777	98.2800851
462.64	89.23981335	89.44310493	98.21569914
463.06	89.29580597	89.69624278	97.9946477
463.49	89.45374925	89.98799772	98.04733972
463.91	89.37662827	90.21876601	98.08479559
464.33	89.45405206	90.48888851	98.19033848
464.75	89.53410945	90.8453346	98.28935274
465.17	89.56304969	91.12874855	98.26673279
465.59	89.58766917	91.27814862	98.2674137
466.01	89.87751235	91.75100067	98.48666095
466.43	89.79567929	91.94669335	98.40476258
466.85	90.01337332	92.16372484	98.40125718
467.27	90.09407973	92.40807394	98.59810174
467.69	90.1832706	92.61366628	98.69848109
468.11	90.20031119	92.82227792	98.70115508
468.53	90.31589164	92.98896831	98.70868682
468.95	90.61607307	93.14413928	98.82671153
469.37	90.58123246	93.22938287	98.69825904
469.79	90.67876931	93.42213368	98.83312133
470.21	91.02280686	93.68863359	99.08509531
470.63	91.13622484	93.93319371	99.09597721
471.05	91.22097912	94.05625796	98.97455199
471.47	91.30616013	94.26326777	98.79376695
471.89	91.40373849	94.47871652	98.81952691
472.31	91.34191344	94.49646173	98.74924014
472.73	91.51624085	94.70137177	98.7784506
473.15	91.52026337	94.89484319	98.68500708
473.57	91.62520929	95.18831325	98.77832886
473.99	91.59414035	95.46696024	98.84960158
474.41	91.7197936	95.65641512	98.83435727
474.83	91.98345315	96.06752613	98.8890946
475.24	92.12692669	96.23898907	98.86611612
475.66	92.24462324	96.45383203	98.94433541
476.08	92.07491444	96.5518373	98.74997301
476.5	92.23027828	96.79122245	98.78974601
476.92	92.27345607	97.03749663	98.80449884
477.34	92.28726964	97.18168613	98.89899205
477.76	92.47364906	97.41340893	99.03798222
478.18	92.60993375	97.61505347	99.11414937
478.59	92.67126163	97.78247856	99.21829011
479.01	92.72194729	97.93674446	99.12935231
479.43	92.87431041	98.13824243	99.24770337
479.85	92.8382047	98.11267804	99.16052595
480.27	92.96310623	98.04137592	99.16560457
480.69	93.13861654	98.02039204	99.20180287
481.1	93.14993624	97.96708059	99.10638727
481.52	93.15417047	97.8475284	99.00422757
481.94	93.12658372	97.67968952	98.85526763
482.36	93.27309574	97.7762043	98.86618481
482.78	93.38148058	97.84588615	98.82272562
483.19	93.60034435	98.05201773	98.89595698
483.61	93.64580762	98.069808	98.88195531
484.03	93.89714326	98.17247346	98.95724572
484.45	93.87628323	98.19299706	98.80143667
484.86	93.84980737	98.14152397	98.66650079
485.28	93.91303936	98.25381248	98.67726203
485.7	93.93939525	98.17633977	98.55737103
486.12	94.04168089	98.19455382	98.66040353
486.53	94.18742916	98.293582	98.60365532
486.95	94.28992031	98.43484847	98.4908505
